,text,BIO_anno,class,bank_topic
145,流水是不是很多,B-COMMENTS_N I-COMMENTS_N O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,2,建设银行
146,流水一个月有多少,B-COMMENTS_N I-COMMENTS_N O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,2,建设银行
147,你怎么也知道今天一大堆这样的,O O O O O O O O O O O O O O,2,建设银行
148,收款还是用信用社这种小地方的卡,B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O,2,建设银行
149,就别人的转账啊，才800多块，金额也不大,O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O B-COMMENTS_ADJ I-COMMENTS_ADJ,2,建设银行
150,信用社的卡不容易风控？,O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_N I-COMMENTS_N O,2,建设银行
151,我打客服电话问了，客服说很多人打电话说储蓄卡被封了，我的也是和你的一样，只能去柜台了,O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O B-PRODUCT I-PRODUCT I-PRODUCT B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O,2,建设银行
152,你好请问你的钱取出来了吗，哈焦虑,O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,2,
153,早就解封了，平安的还是靠谱的,O O O O O O B-BANK I-BANK O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2,
154,请问是去柜台取的吗麻烦你了,O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O,2,建设银行
155,不是取钱，我是去柜台解封，要到开户行才能解封,O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O B-PRODUCT I-PRODUCT,2,建设银行
156,你好请问你的取出来了吗，我的没有，心烦,O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,2,
157,请问招商银行申请办理信用卡需要什么条件,O O B-BANK I-BANK I-BANK I-BANK O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O,2,
158,请问今天算是说的6+1吗还是明天才算？,O O O O O O O O O O O O O O O O O O O,2,建设银行
159,那是还了再点还是不还点？,O O O O O O O O O O O O,2,建设银行
160,我下卡从来没提过额度，成功不成功点了才知道,O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O,2,建设银行
161,招行_77k,B-BANK I-BANK O O O O,2,建设银行
162,点了又不会怀孕，是来搞笑的么,O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O,2,
163,都可以，你可以尝试申请。没成功也无所谓啊,O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O,2,
164,我的首提，是7+1,O O B-COMMENTS_N I-COMMENTS_N O O O O O,2,建设银行
165,出第七个账单后一天？,O O O O B-COMMENTS_N I-COMMENTS_N O O O O,2,建设银行
166,这次坑定了,O O B-COMMENTS_ADJ O O,2,建设银行
167,"本来按理来说是妥妥的建行幼稚客户啊，唯一的可能就是卡多了，小贱应该在行数少的时候申请，你这个预审批很高了。我代发工资每月才4k,秒批。第二行，卡还没到不知道怎么查...",O O O O O O O O O O B-BANK I-BANK B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O B-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,2,建设银行
168,应该可以吧，我的资质一般，刚毕业2年，招行卡2万额度,O O O O O O O O O O O O O O O O O O O B-BANK I-BANK O O O O O,2,
169,这资质八成能过，额度还不会低的,O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O,2,
170,这个走线下完全没有问题！没必要走线上，额度还是有的,O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O,2,
171,金卡都被拒了……不知道为啥,B-PRODUCT I-PRODUCT O O B-COMMENTS_ADJ O O O O O O O O,2,建设银行
172,这不科学，一般人浦发信用卡都是3万额度起呀,O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O B-COMMENTS_N I-COMMENTS_N O O,2,
173,基本能过，兴业的卡是非常好批的,O O O O O B-BANK I-BANK O O O O O O O O,2,
174,应该是当地银行的问题??要线下必须要面签比如工商银行,O O O O O O O O O O O O O O O O O O O O O O B-BANK I-BANK I-BANK I-BANK,2,
175,炫富！建行看不下去，拒绝了,O O O B-BANK I-BANK O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2,建设银行
176,提前恭祝楼主下卡，下来了，通知一下，我好看看有没有水，好嘛,O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O,2,建设银行
177,全美条件这都没下卡？,O O O O O O O B-COMMENTS_N I-COMMENTS_N O,2,建设银行
178,我前面贴图了，金卡都被拒了，百思不得其解,O O O O O O O B-PRODUCT I-PRODUCT O O B-COMMENTS_ADJ O O O O O O O O,2,建设银行
179,这都要拒，贱行真是个奇葩行,O O O B-COMMENTS_ADJ O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2,建设银行
180,线下申请给的资料也是一样的啊……难道线下有加成？标准都是一样的吧,O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O,2,
181,签约分行是工作地的吗，是的工作地的，工商银行哦,O O O O O O O O O O O O O O O O O O B-BANK I-BANK I-BANK I-BANK O,2,
182,主要是你太优秀了，人工审批的那个哥们还是妹子看你不顺眼！你这么好的资质申请个毛的信用卡！所以拒绝你了,O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O,2,建设银行
183,这有啥炫富的……都不算幼稚客户，建行有房贷基本都是5星……,O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O B-BANK I-BANK O B-PRODUCT I-PRODUCT O O O O O O O O,2,建设银行
184,我有建行房贷三星,O O B-BANK I-BANK B-PRODUCT I-PRODUCT O O,2,建设银行
185,老哥幼稚,O O B-COMMENTS_ADJ I-COMMENTS_ADJ,2,建设银行
186,房贷还了多久？估计和我一样满两年才能下卡,B-PRODUCT I-PRODUCT O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N,2,建设银行
187,可以线下试试大山白,O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT,2,建设银行
188,办理汽车卡,O O B-PRODUCT I-PRODUCT I-PRODUCT,2,建设银行
189,可以线下去申请中信银行的信用卡，比较好申请,O O O O O O O B-BANK I-BANK I-BANK I-BANK O B-PRODUCT I-PRODUCT I-PRODUCT O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O,2,
190,线下去申，资料带齐，秒批，浦发就是,O O O O O O O O O O O O O O O O O,2,
191,去网点申请，直接就给你批了。别网申啊，兴业就是,O O O O O O O O O O O O O O O O O O O B-BANK I-BANK O O,2,
192,以前工资代发，JOY白下卡1.8，几年没升过,O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O B-COMMENTS_ADJ O,2,建设银行
193,大山白暂时用不到权益，年费我也吃不消,B-PRODUCT I-PRODUCT I-PRODUCT O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O B-COMMENTS_N I-COMMENTS_N O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ,2,建设银行
194,年费积分免啊，你可以下来了在申请别的卡销大山,B-COMMENTS_N I-COMMENTS_N B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O,2,建设银行
195,哈哈，我没有预审批，代发社保公积金，6行批的，老哥命苦,O O O O O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O,2,建设银行
196,农行刷免精粹白100K,B-BANK I-BANK O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O,2,建设银行
197,不低了，有这实力当时如果直接申请大山白，估计可以下8万,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O,2,建设银行
198,低了，不符合你的身份。注销申请大山,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O,2,建设银行
199,算了，1800年费肉疼,O O O O O O O B-COMMENTS_N I-COMMENTS_N O O,2,建设银行
200,后悔了，当时不懂，乱申请的，当时都不知道大山白,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O B-COMMENTS_ADJ O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT,2,建设银行
201,不入虎穴焉得虎子，为了额度冲,O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O,2,
202,大山白还要操心年费，像我交过一次1800后就消了。,B-PRODUCT I-PRODUCT I-PRODUCT O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O,2,建设银行
203,可以，就是下卡五万就很难再提上去了,O O O O O B-COMMENTS_N I-COMMENTS_N O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O,2,建设银行
204,为啥呢，我提额还是比较顺利的啊,O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O,2,
205,五万是个槛，大部分人五万就不容易再往上提了，只能靠大山白了。。。,O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O B-PRODUCT I-PRODUCT I-PRODUCT O O O O,2,建设银行
206,31K的路过，中信,O O O O O O O O O,2,
207,2万，一年没动，中信,O O O O O O O O O O,2,
208,卡多的，就用冷冻大法,O O O O O O B-COMMENTS_N I-COMMENTS_N O O,2,建设银行
209,2w就没意思了，有点低了吧,O O O O O O O O O O B-COMMENTS_ADJ O O,2,
210,未收到卡之前能看到额度吗？,O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O,2,建设银行
211,用一段时间在申大山白,O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT,2,建设银行
212,"2w1,一直不动，可以考虑注销了",O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O,2,
213,算了，肉的成本1800疼,O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O,2,建设银行
214,5万元是门槛，大部分人都不能轻易再提起来，只能靠,O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2,建设银行
215,也是最近。额度还很高呢,O O O O O B-COMMENTS_N I-COMMENTS_N O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2,
216,太高了，留不住吧？,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O,2,建设银行
217,我能在收到配额之前看到它吗卡？,O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O,2,建设银行
218,是的，我不能上去，但我怕以后不会怀恨在心。卡,O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O B-COMMENTS_ADJ O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O,2,建设银行
219,确实是建行额度调整的短信内容。以前收到过，只要能指定文字。,O O O B-BANK I-BANK B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O O,2,建设银行
220,如果发送号码正确！那一定就是对了，太开心了吧,O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O,2,
221,不是地区吧？白天还有个大佬前几天0.35然后变成0.25呢，降息了,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O,2,
222,广东的吗，是的就是广东的农商行,O O O O O O O O O O O O B-BANK I-BANK I-BANK,2,
223,有点高了比取现分期还多点,O O B-COMMENTS_ADJ O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O B-COMMENTS_ADJ I-COMMENTS_ADJ,2,建设银行
224,0.5高了，相当于每天万三的费率！,O O O B-COMMENTS_ADJ O O O O O O O O O O O O O,2,建设银行
225,我们这里是.4，东北的，感觉是地区，毕竟推广短信是群发，短信就说了费率。问问小银行，很可能有低的，但是小银行推广力度一般不够...,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O,2,建设银行
226,不是推广短信。我已经接过好几次的电话了，银行是有这种分期业务，会给你打电话的,O O O O O O O O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O,2,
227,那就是建行的人，他们能查到谁有额度，然后挨个短信，电话也打。我全接过，而且不止一个人,O O O B-BANK I-BANK O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O O O O O O O,2,建设银行
228,好几个人，都是当地网点的。他们有提成的，不仅是任务量这么简单。所以贼卖力,O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O,2,建设银行
229,分地区的??比如整个广东除深圳外都是0.5??可能是人多不缺客户??不怕没人用??有些地方可能难推广就打折来推销??它这个利率是整个分行负责区域所有人都是一样的??当时我...,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O O O O O O O,2,
230,0350地区0.5，市分行打电话邀请办，我说其他地区0.25或者0.3，分行打电话那个女的还不相信，说不可能吧。还装傻充楞,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ O O,2,
231,我之前0.4现在0.25??167k额度坐标028,O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O,2,
232,我也是0350，改天去了分行问一下这个，就很清楚了,O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2,
233,手机银行也是0.5,B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O O O,2,建设银行
234,确实都是本地网点打来让办理的，本地网点还是靠谱,O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,2,
235,0516区域发的短信，4月30日前5折，只要0.25，我算了下年化大概5.5,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O,2,建设银行
236,021，0.4这个利率怎么样,O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O,2,
237,028??0.25 这个更低,O O O O O O O O O O O O O B-COMMENTS_ADJ,2,
238,费率从0.4变成0.25也没推下来！无缘分期通,O O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT,2,建设银行
239,哈哈，看标题就很想进来看看，都想知道怎么提额的，哈哈哈,O O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O,2,
240,0.5高，相当于每天13000！,O O O B-COMMENTS_ADJ O O O O O O O O O O O O,2,建设银行
241,现在有没有必要去进件申请,O O O O O O O O O O O O,2,建设银行
242,不太可能会出9万以上额度，大概率还是共享额度，毕竟大山白也只是8万起步额度,B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O B-COMMENTS_N I-COMMENTS_N O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O B-COMMENTS_N I-COMMENTS_N,2,建设银行
243,授信过高，你没业务来往不建议申，不然就是送年费的。,B-PRODUCT I-PRODUCT B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O,2,建设银行
244,主要是权益那些感觉都没什么需要，想着申大山白看看能否曲线提高额度,O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_N I-COMMENTS_N,2,建设银行
245,那就曲线看看吧，反正1800年费随便撸一下就回来了,O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O,2,建设银行
246,实测不会提额,O O O O B-COMMENTS_N I-COMMENTS_N,2,建设银行
247,兄弟已经试过了吗？提额提了多少呀,O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O,2,
248,大山8万起步，我大山批了，额度还是8.7w没变,O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O,2,建设银行
249,后面提额了吗？,O O B-COMMENTS_N I-COMMENTS_N O O O,2,建设银行
250,并没有，招行的朝朝盈稳健还是可以的,O O O O B-BANK I-BANK O B-PRODUCT I-PRODUCT I-PRODUCT B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O,2,
251,用了多久了？大山白也那么难提额？,O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O B-PRODUCT I-PRODUCT I-PRODUCT O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_N I-COMMENTS_N O,2,建设银行
252,大山没用多久,O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,2,建设银行
253,活捉一枚大山大佬,O O O O O O O O,2,建设银行
254,朱总莫要取笑小弟,O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O,2,建设银行
255,这座大山可能我五年都爬不上去，太大了,O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2,
256,我浦发销卡两次，间隔一年半，现在怎么都不批卡了怎么破？,O B-BANK I-BANK B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O O O O,2,建设银行
257,那都没必要去白交1800年费了,O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O,2,建设银行
258,中行20万是什么条件申请的？公司高管？还是有大额存款？,B-BANK I-BANK O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O,2,建设银行
259,后来金额提高了吗？,O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ O O O,2,建设银行
260,配额不太可能超过9万，配额分成的概率还是很大的。毕竟,O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O,2,建设银行
261,活捉一个大哥！！！,O O O O O O O O O,2,建设银行
262,用了多久？大山白这么难求？,O O B-COMMENTS_ADJ I-COMMENTS_ADJ O B-PRODUCT I-PRODUCT I-PRODUCT O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2,建设银行
263,活捉一个大山老板,O O O O O O O O,2,建设银行
264,我这山可能五年都不爬了,O O O O O O O O O O O,2,建设银行
265,一起办，各种基金呀都可以整起来,O O O O O O B-PRODUCT I-PRODUCT O O O O O O O,2,
266,看你自己的需求了，也可两个都申请。额度不会低的,O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O B-COMMENTS_ADJ O,2,
267,不用信用卡也能申分期通，有的网点还会给你加办一张信用卡。。。,O O B-PRODUCT I-PRODUCT I-PRODUCT O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O,2,建设银行
268,随你，想giao哪个giao哪个，反正都是不错的，看个人需求了,O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O,2,
269,先搞分期通,O O B-PRODUCT I-PRODUCT I-PRODUCT,2,建设银行
270,能分60期我还想在养养，看看能不能额度再高点，毕竟预审批不一定给九万呢，理想是15万分个60期，差不多就压力不大了...,O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_N I-COMMENTS_N O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O,2,建设银行
271,卡多不好批??。我15.8额度，申了两次没有批，就因为多头授信。,O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O,2,
272,我就一张信用卡一个农商消费贷加一个房贷，准备养养征信在搞工商，现在看到建设分期通还可以啊，毕竟我公积金是建行的，我不玩卡就想备着点银行贷款...,O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O B-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT O O O B-PRODUCT I-PRODUCT O O O O O B-PRODUCT I-PRODUCT O O B-BANK I-BANK O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O B-BANK I-BANK O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O,2,建设银行
273,怎么开公积金到建行的,O O O B-PRODUCT I-PRODUCT I-PRODUCT O B-BANK I-BANK O,2,建设银行
274,也不一定。我卡都5张了，还有借呗，信用卡都用了不少，也没说多头授信,O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O B-PRODUCT I-PRODUCT,2,建设银行
275,我让建行查原因，就是多头授信,O O B-BANK I-BANK O O O O O O O O B-PRODUCT I-PRODUCT,2,建设银行
276,等额度上去再搞吧,O B-COMMENTS_N I-COMMENTS_N O O O O O,2,建设银行
277,我分期通预审批连续三个月涨额度75k-167k，工资卡建行，流水也在建行，两行卡没网贷,O B-PRODUCT I-PRODUCT I-PRODUCT B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O O O O O B-COMMENTS_ADJ B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O B-BANK I-BANK O B-COMMENTS_N I-COMMENTS_N O O B-BANK I-BANK O O O O O B-PRODUCT I-PRODUCT,2,建设银行
278,装修贷款我也能批，但是要回房贷地去走流程，繁琐，不如分期通好，利率都是0025左右吧，目前我分期通是004,O O B-PRODUCT I-PRODUCT O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT B-COMMENTS_ADJ O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O,2,建设银行
279,我分期通这个月刚降息，0.25，之前0.4,O B-PRODUCT I-PRODUCT I-PRODUCT O O O O B-COMMENTS_ADJ O O O O O O O O O O O O,2,建设银行
280,我021的还没降，这几天看论坛才知道025了，你需要钱的话可以试试，利息应该很低了，最重要可以分60期,O O O O O O O B-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O,2,建设银行
281,看自己的需求，或者两者都申请?,O O O O O O O O O O O O O O O,2,建设银行
282,卡很难批。?我申请了15.8的名额，但是两次都没批，只是因为,O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O O O O O O O,2,建设银行
283,不一定。?我卡有5本，借了很多贷卡。,O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O,2,建设银行
284,怎么给建行开公积金,O O O B-BANK I-BANK O B-PRODUCT I-PRODUCT I-PRODUCT,2,建设银行
285,卖了，9个月了，没还什么金额,O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N,2,建设银行
286,公司开了，额度随便提啊，哈哈哈,O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O,2,
287,我找建行了解原因，就是多次贷款不批。不到申请,O O B-BANK I-BANK O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O,2,建设银行
288,名额上去了再说。,O O O O O O O O,2,建设银行
289,严格风险控制,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O,2,建设银行
290,最近一直游过来游过去。是在吊我吧，浦发,O O O O O O O O O O O O O O O O O B-BANK I-BANK,2,
291,试试啊，试完回来告诉我们下，我也想知道分期，手续费贵不贵,O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ O B-COMMENTS_ADJ,2,
292,首卡不可以,B-PRODUCT I-PRODUCT O O O,2,建设银行
293,开通了，良民证加人脸识别开通了，在掌上生活直接开通,O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O O,2,
294,试，试完了再告诉我们，,O O O O O O O O O O O,2,
295,去网点。?网点办信用卡很靠谱,O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O B-COMMENTS_ADJ I-COMMENTS_ADJ,2,
296,行卡但是不能,O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,2,建设银行
297,为啥不是ems用这无语挂号信！邮政储蓄就是坑,O O O O O O O O O O O O O O O B-BANK I-BANK I-BANK I-BANK O O O,2,
298,明天就到了，兴业的效率还可以,O O O O O O B-BANK I-BANK O O O O O O,2,
299,不会吧？真的，我当时临时想刷个钱交通死活不同意啊,O O O O O O O O O O O O O O O O B-BANK I-BANK O O O O O O,2,
300,曲线成功了？,O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O,2,建设银行
301,同广东路线一样我建行下了三张都是4～5天到,O O O O O O O O B-BANK I-BANK O O O O O O O O O O O,2,建设银行
302,快了,B-COMMENTS_ADJ O,2,建设银行
303,哈哈哈，江高那里是个坑，最能拖了,O O O O O O O O O O B-COMMENTS_ADJ O B-COMMENTS_ADJ O O O,2,建设银行
304,可以自己出钱用更快的快递服务。,O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O,2,建设银行
305,哈哈哈哈啊哈嘿，我的额度提了一倍,O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O,2,
306,挂号信虽然慢，但是时间长啊,O O O O O B-COMMENTS_ADJ O O O O O B-COMMENTS_ADJ O,2,建设银行
307,狗日的江高,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O,0,建设银行
308,小病也刷不了多少钱，无所谓，但是大病，刷大金额银行就要颤抖了，银行会认为，这客户是不是得了不治之症啊，那钱就要打水漂啦，赶紧降额！！！;P...,O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O,2,建设银行
